elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.73,36.16,1.58,10100,441,17394,27935
0.0,37.73,36.16,1.57,10102,439,17394,27935
0.1,37.73,36.16,1.58,10101,440,17394,27935
0.2,37.73,36.16,1.57,10102,439,17394,27935
0.3,37.73,36.15,1.58,10099,442,17394,27935
0.4,37.73,36.16,1.58,10101,440,17394,27935
0.6,37.74,36.15,1.59,10099,443,17393,27935
0.6,37.74,36.14,1.60,10095,447,17393,27935
0.8,37.74,36.14,1.60,10096,446,17393,27935
0.9,37.74,36.16,1.58,10101,441,17393,27935
1.0,37.74,36.14,1.60,10095,447,17393,27935
1.1,37.74,36.16,1.58,10100,442,17393,27935
1.2,37.74,36.14,1.60,10096,446,17393,27935
1.3,37.74,36.14,1.60,10096,446,17393,27935
1.4,37.74,36.16,1.58,10100,442,17393,27935
1.5,37.74,36.15,1.59,10099,443,17393,27935
1.6,37.74,36.17,1.57,10104,438,17393,27935
1.7,37.74,36.17,1.57,10104,438,17393,27935
1.8,37.74,36.16,1.58,10101,441,17393,27935
1.9,37.74,36.16,1.58,10101,441,17393,27935
2.0,38.04,36.35,1.69,10154,473,17308,27935
2.1,38.12,36.39,1.73,10165,483,17287,27935
2.2,38.21,36.42,1.79,10173,501,17261,27935
2.4,38.61,36.73,1.88,10260,526,17149,27935
2.5,38.74,36.82,1.92,10285,537,17113,27935
2.6,39.12,37.08,2.04,10414,572,17100,28086
2.7,39.24,36.81,2.42,10451,688,17249,28388
2.8,39.25,36.83,2.42,10456,686,17246,28388
2.9,40.65,38.01,2.64,10863,753,16960,28576
3.0,40.65,38.03,2.62,10868,749,16959,28576
3.1,41.12,38.14,2.98,10899,852,16825,28576
3.2,41.22,38.19,3.03,10914,866,16796,28576
3.3,41.65,38.30,3.35,10945,957,16674,28576
3.4,42.00,38.49,3.51,10998,1003,16575,28576
3.5,41.57,38.11,3.46,11006,1000,16874,28880
3.6,41.57,38.14,3.43,11014,992,16874,28880
3.7,41.62,38.22,3.40,11037,983,16860,28880
3.9,41.62,38.25,3.37,11046,974,16860,28880
4.0,41.63,38.25,3.37,11048,974,16858,28880
4.1,41.64,38.26,3.38,11050,975,16855,28880
4.2,41.66,38.31,3.35,11122,974,16936,29032
4.3,41.74,38.37,3.37,11141,978,16913,29032
4.4,41.87,38.50,3.37,11178,977,16877,29032
4.5,41.93,38.39,3.54,11220,1034,16969,29223
4.6,41.93,38.37,3.56,11213,1041,16969,29223
4.7,41.93,38.37,3.57,11212,1042,16969,29223
4.8,41.93,38.32,3.61,11199,1055,16969,29223
4.9,43.12,39.30,3.82,11561,1123,16730,29414
5.0,43.12,39.07,4.06,11640,1209,16947,29796
5.1,43.18,39.05,4.13,11636,1230,16930,29796
5.3,43.01,38.60,4.41,11650,1330,17198,30178
5.4,43.55,38.79,4.76,11705,1437,17036,30178
5.5,43.55,38.85,4.71,11723,1421,17034,30178
5.6,43.56,38.88,4.69,11733,1414,17031,30178
5.7,43.56,38.92,4.65,11745,1402,17031,30178
5.8,43.56,38.94,4.63,11750,1397,17031,30178
5.9,43.57,38.94,4.63,11750,1398,17030,30178
6.0,43.57,38.96,4.61,11756,1392,17030,30178
6.2,43.59,39.01,4.58,11773,1382,17023,30178
6.3,43.61,39.02,4.59,11776,1384,17018,30178
6.4,43.68,39.06,4.63,11787,1396,16995,30178
6.5,43.63,39.02,4.61,11899,1405,17190,30494
6.6,43.63,39.00,4.63,11893,1411,17190,30494
6.7,43.63,38.99,4.64,11890,1414,17190,30494
6.8,43.63,38.97,4.66,11883,1421,17190,30494
6.9,43.64,38.97,4.67,11882,1425,17187,30494
7.0,43.64,38.93,4.71,11870,1437,17187,30494
7.1,43.64,38.93,4.71,11872,1435,17187,30494
7.2,43.64,38.97,4.67,11883,1424,17187,30494
7.3,43.64,38.93,4.71,11871,1436,17187,30494
7.4,43.64,38.90,4.74,11863,1446,17185,30494
7.5,43.69,38.91,4.79,11864,1460,17170,30494
7.6,43.69,38.91,4.78,11866,1458,17170,30494
7.8,43.69,38.90,4.79,11863,1461,17170,30494
7.9,43.69,38.91,4.78,11865,1459,17170,30494
8.0,43.69,38.90,4.79,11862,1462,17170,30494
8.1,43.69,38.91,4.79,11864,1460,17170,30494
8.2,43.69,38.91,4.78,11866,1458,17170,30494
8.3,43.69,38.91,4.78,11866,1458,17170,30494
8.4,43.69,38.91,4.78,11865,1459,17170,30494
8.5,43.69,38.89,4.81,11858,1466,17170,30494
8.7,43.69,38.89,4.81,11858,1466,17170,30494
8.8,43.69,38.88,4.81,11857,1467,17170,30494
8.9,43.69,38.89,4.80,11860,1464,17170,30494
9.0,43.69,38.90,4.80,11861,1463,17170,30494
9.1,43.69,38.93,4.76,11872,1452,17170,30494
9.2,43.69,38.95,4.75,11876,1448,17170,30494
9.3,43.69,38.95,4.75,11877,1447,17170,30494
9.4,43.69,38.97,4.72,11884,1440,17170,30494
9.6,43.69,38.98,4.71,11888,1436,17170,30494
9.7,43.69,38.98,4.72,11886,1438,17170,30494
9.8,43.69,39.00,4.69,11893,1431,17170,30494
9.9,43.69,39.00,4.69,11894,1430,17170,30494
